0:	22, 39, 28, 1, 33, 
1:	66, 50, 7, 67, 
2:	60, 96, 28, 38, 
3:	91, 10, 3, 
4:	70, 81, 79, 80, 59, 
5:	5, 52, 38, 13, 42, 
6:	72, 
7:	61, 36, 40, 
8:	35, 87, 83, 
9:	56, 84, 34, 
10:	86, 17, 
11:	79, 48, 54, 
12:	52, 29, 82, 
13:	17, 26, 55, 
14:	95, 71, 43, 
15:	40, 65, 3, 
16:	35, 24, 51, 14, 
17:	49, 59, 
18:	54, 52, 70, 89, 58, 
19:	39, 45, 70, 
20:	84, 90, 79, 89, 67, 
21:	53, 47, 24, 24, 9, 
22:	67, 14, 88, 
23:	56, 59, 7, 82, 
24:	31, 9, 17, 
25:	71, 65, 
26:	64, 14, 6, 87, 
27:	15, 10, 82, 
28:	58, 9, 84, 
29:	95, 89, 
30:	39, 54, 10, 
31:	85, 39, 79, 28, 88, 30, 
32:	76, 22, 20, 34, 
33:	3, 52, 56, 3, 
34:	2, 15, 6, 36, 69, 
35:	39, 51, 83, 32, 
36:	34, 29, 73, 37, 70, 
37:	18, 89, 33, 0, 
38:	56, 27, 15, 17, 
39:	10, 34, 
40:	95, 14, 26, 5, 
41:	44, 21, 63, 27, 9, 30, 
42:	73, 53, 58, 2, 42, 
43:	30, 31, 14, 18, 
44:	45, 24, 22, 29, 
45:	62, 1, 0, 
46:	56, 76, 0, 
47:	3, 75, 
48:	24, 
49:	77, 57, 
50:	65, 28, 50, 
51:	59, 66, 76, 14, 
52:	68, 62, 
53:	96, 61, 19, 
54:	85, 49, 8, 92, 
55:	75, 27, 74, 
56:	41, 74, 39, 12, 14, 
57:	63, 34, 66, 
58:	5, 16, 47, 34, 
59:	36, 26, 72, 54, 
60:	53, 59, 16, 33, 
61:	86, 31, 49, 95, 12, 
62:	66, 80, 
63:	66, 11, 35, 1, 
64:	68, 33, 50, 94, 
65:	2, 74, 87, 87, 59, 
66:	85, 
67:	43, 76, 80, 82, 
68:	61, 9, 
69:	46, 
70:	35, 43, 53, 46, 
71:	43, 92, 30, 21, 
72:	69, 34, 86, 
73:	81, 84, 96, 
74:	14, 49, 66, 77, 
75:	25, 34, 2, 31, 
76:	38, 23, 65, 18, 
77:	71, 80, 
78:	4, 63, 21, 66, 56, 
79:	47, 93, 44, 40, 
80:	62, 65, 58, 25, 
81:	20, 4, 29, 31, 
82:	81, 28, 44, 
83:	16, 35, 36, 27, 
84:	29, 90, 19, 
85:	0, 
86:	44, 50, 92, 10, 
87:	30, 
88:	41, 85, 44, 
89:	77, 30, 58, 
90:	17, 18, 22, 
91:	5, 29, 43, 71, 18, 
92:	49, 83, 90, 
93:	29, 
94:	32, 20, 27, 18, 28, 
95:	37, 34, 41, 
96:	15, 57, 
